渋谷珈琲研究所,293,-104,586,-209,1172,-418,2343,-836,4686,-1672,9372,-3345,35.67185093,139.70969100,http://allabout.co.jp/gm/gc/219416/,15,渋谷珈琲研究所…渋谷駅・新南口前 [カフェ] All About
上海食堂　恵比寿店,293,-105,586,-209,1171,-419,2342,-837,4685,-1674,9370,-3347,35.646662222222,139.711989166667,http://ameblo.jp/onoreameba/entry-10080355119.html,16,渋谷で500円以下のランチ特集！｜渋谷のグルメ~おのアメさん探訪記
かにチャーハンの店 渋谷店,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3345,35.66128184,139.69789691,http://ameblo.jp/onoreameba/entry-10080355119.html,16,渋谷で500円以下のランチ特集！｜渋谷のグルメ~おのアメさん探訪記
小麦房,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.658685555556,139.697745277778,http://ameblo.jp/onoreameba/entry-10080355119.html,16,渋谷で500円以下のランチ特集！｜渋谷のグルメ~おのアメさん探訪記
ブラックブラウン,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.659954722222,139.697950833333,http://ameblo.jp/onoreameba/entry-10080355119.html,16,渋谷で500円以下のランチ特集！｜渋谷のグルメ~おのアメさん探訪記
キッチンメル,293,-104,586,-209,1171,-418,2342,-837,4685,-1673,9370,-3346,35.654050000000,139.702003611111,http://ameblo.jp/onoreameba/entry-10080355119.html,16,渋谷で500円以下のランチ特集！｜渋谷のグルメ~おのアメさん探訪記
きくや,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.658407777778,139.703675277778,http://ameblo.jp/onoreameba/entry-10080355119.html,16,渋谷で500円以下のランチ特集！｜渋谷のグルメ~おのアメさん探訪記
キッチンキクヤ,293,-104,586,-209,1171,-418,2343,-836,4686,-1671,9372,-3342,35.683871111111,139.683634444444,http://ameblo.jp/onoreameba/entry-10080355119.html,16,渋谷で500円以下のランチ特集！｜渋谷のグルメ~おのアメさん探訪記
すずめのおやど渋谷店,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.660421388889,139.698392500000,http://ameblo.jp/onoreameba/entry-10080355119.html,16,渋谷で500円以下のランチ特集！｜渋谷のグルメ~おのアメさん探訪記
山家（居酒屋）支店,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.658132777778,139.699136944444,http://ameblo.jp/onoreameba/entry-10080355119.html,16,渋谷で500円以下のランチ特集！｜渋谷のグルメ~おのアメさん探訪記
山家（居酒屋）本店,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.658163333333,139.699359166667,http://ameblo.jp/onoreameba/entry-10080355119.html,16,渋谷で500円以下のランチ特集！｜渋谷のグルメ~おのアメさん探訪記
山家（居酒屋）支店２階専用,293,-104,586,-209,1171,-418,2343,-836,4685,-1673,9370,-3346,35.658132777778,139.699136944444,http://ameblo.jp/onoreameba/entry-10080355119.html,16,渋谷で500円以下のランチ特集！｜渋谷のグルメ~おのアメさん探訪記
